pref,city,date,weather
Tokyo,Shinjuku,2024-09-21,Cloudy
Osaka,Umeda,2024-09-22,Sunny
Hokkaido,Sapporo,2024-09-23,Snowy
Fukuoka,Hakata,2024-09-24,Rainy
Kyoto,Kawaramachi,2024-09-25,Partly Cloudy
Aichi,Nagoya,2024-09-26,Sunny
Kanagawa,Yokohama,2024-09-27,Cloudy
Hyogo,Kobe,2024-09-28,Rainy
Miyagi,Sendai,2024-09-29,Windy
Hiroshima,Hiroshima City,2024-09-30,Sunny
Okinawa,Naha,2024-10-01,Tropical Storm
Shizuoka,Hamamatsu,2024-10-02,Foggy
Chiba,Chiba City,2024-10-03,Partly Sunny
Saitama,Omiya,2024-10-04,Clear
Niigata,Niigata City,2024-10-05,Snowy
Tochigi,Utsunomiya,2024-10-06,Overcast
Okayama,Okayama City,2024-10-07,Thunderstorm
Kagoshima,Kagoshima City,2024-10-08,Humid
Ishikawa,Kanazawa,2024-10-09,Drizzle
Nagano,Matsumoto,2024-10-10,Frosty